Product_Name,Brand,Model,RAM,Storage,Color,Screen_Size,Battery,Main_Camera,Charging,Original_Price,Price,Discount_Percentage,Reviews,In_Stock
Asus Zenfone 10,Asus,Zenfone 10,16GB,1TB,Sunset Red,6.3,5009mAh,110MP,45W,37000,26340,28.81,Decent performance for the price. performance is fine. Exceeds expectations! performance is fantastic. A perfect balance of performance and quality. Not impressed Major flaws with the performance. Needs urgent improvement. build quality is okay. Not worth the price Fair performance for the price. display is acceptable. battery life doesn't meet the standards. Highly recommended Superb performance! Makes everything better. Amazing display. Highly recommended Unacceptable camera. It ruins the overall experience.,FALSE
Asus ROG Phone 6,Asus,ROG Phone 6,12GB,256GB,Sunset Red,6.2,4018mAh,59MP,33W,21000,15080,28.19,"Absolutely love the battery life. Highly recommend! Very poor build quality. Would not recommend. display could use a lot of improvement. Highly recommended Not bad, but battery life could use some refinement. Not impressed Exceptional battery life. Definitely worth the price. Mediocre camera. Could have been better. Major flaws with the performance. Needs urgent improvement. Absolutely love the build quality. Highly recommend! Terrible battery life! Extremely dissatisfied. Really impressed with the build quality. Highly recommended",TRUE
OnePlus 11,OnePlus,11,16GB,128GB,Cool Blue,6.2,5197mAh,87MP,80W,62000,49180,20.68,battery life doesn't meet the standards. It could be better camera doesn't meet the standards. It could be better Terrible camera! Extremely dissatisfied. performance is okay. Not worth the price camera is okay. Not worth the price Mediocre battery life. Could have been better. Very poor display. Would not recommend. camera could use a lot of improvement. It could be better Exceptional performance. Definitely worth the price. Highly impressed with the display. Great job!,TRUE
OnePlus 12R,OnePlus,12R,6GB,128GB,Silky Black,6.4,5310mAh,196MP,100W,68000,46830,31.13,"The display is frustrating to deal with. It could be better The battery life is neither here nor there. Highly recommended battery life could use a lot of improvement. Not worth the price Major flaws with the battery life. Needs urgent improvement. Fair performance for the price. display is acceptable. Major flaws with the build quality. Needs urgent improvement. Not bad, but build quality could use some refinement. I love it Unacceptable build quality. It ruins the overall experience. Really impressed with the display. I love it Very poor build quality. Would not recommend.",FALSE
Samsung Galaxy A54 5G,Samsung,Galaxy A54 5G,8GB,512GB,Phantom Black,6.6,5083mAh,112MP,65W,75000,52350,30.2,"Highly impressed with the camera. Great job! Not bad, but battery life could use some refinement. Highly recommended camera could use a lot of improvement. Highly recommended camera is disappointing. It could be better Fair performance for the price. camera is acceptable. Decent performance for the price. build quality is fine. display is disappointing. Not worth the price The display is neither here nor there. Not impressed Superb performance! Makes everything better. Very poor display. Would not recommend.",TRUE
Xiaomi 13 Pro,Xiaomi,13 Pro,8GB,128GB,Red,6.7,4651mAh,124MP,65W,45000,35960,20.09,"Superb display! Makes everything better. A balanced experience overall, but build quality lacks wow factor. Absolutely love the performance. Highly recommend! Really impressed with the display. I love it Unacceptable display. It ruins the overall experience. Decent performance for the price. performance is fine. Really impressed with the display. Highly recommended Mediocre performance. Could have been better. Exceeds expectations! performance is fantastic. Fair performance for the price. battery life is acceptable.",TRUE
Motorola Edge 20,Motorola,Edge 20,16GB,1TB,Magenta,6.6,4330mAh,122MP,33W,33000,25340,23.21,"camera could use a lot of improvement. Not impressed Satisfactory build quality, but nothing extraordinary. Satisfactory display, but nothing extraordinary. Absolutely love the build quality. Highly recommend! Unacceptable display. It ruins the overall experience. Mediocre battery life. Could have been better. Satisfactory battery life, but nothing extraordinary. Meets expectations, but performance is unremarkable. Meets expectations, but build quality is unremarkable. Superb display! Makes everything better.",TRUE
Vivo Vivo V23,Vivo,Vivo V23,16GB,512GB,Space Black,6.6,4603mAh,178MP,65W,25000,18710,25.16,"Satisfactory battery life, but nothing extraordinary. Mediocre camera. Could have been better. camera could use a lot of improvement. It could be better The build quality is neither here nor there. Not worth the price Really impressed with the display. Not worth the price Worth every penny! display is top-notch Exceeds expectations! build quality is fantastic. Mediocre camera. Could have been better. Fair performance for the price. performance is acceptable. camera is disappointing. It could be better",FALSE
Google Pixel 6,Google,Pixel 6,8GB,1TB,Porcelain,6.6,5116mAh,79MP,80W,41000,29790,27.34,"Unacceptable performance. It ruins the overall experience. Fair performance for the price. build quality is acceptable. Decent performance for the price. battery life is fine. Amazing build quality. Not worth the price display could use a lot of improvement. Highly recommended Satisfactory build quality, but nothing extraordinary. display doesn't meet the standards. Not worth the price Exceptional performance. Definitely worth the price. performance is okay. Not impressed Not bad, but battery life could use some refinement. Not worth the price",FALSE
Asus ROG Phone 6,Asus,ROG Phone 6,16GB,256GB,Moonlight White,6.8,4038mAh,120MP,80W,17000,12710,25.24,"A balanced experience overall, but performance lacks wow factor. Worth every penny! camera is top-notch Highly impressed with the build quality. Great job! Not satisfied with the build quality. Highly recommended The camera is neither here nor there. Not worth the price Major flaws with the battery life. Needs urgent improvement. Very poor battery life. Would not recommend. battery life doesn't meet the standards. It could be better Major flaws with the build quality. Needs urgent improvement. Exceptional build quality. Definitely worth the price.",TRUE
Huawei Nova 10,Huawei,Nova 10,12GB,512GB,Golden Black,6.1,4869mAh,59MP,100W,31000,24170,22.03,Mediocre performance. Could have been better. Absolutely love the performance. Highly recommend! camera is okay. Not impressed Mediocre performance. Could have been better. Phenomenal performance! battery life is flawless. Not satisfied with the performance. It could be better The camera is frustrating to deal with. Not impressed Absolutely love the battery life. Highly recommend! Exceeds expectations! build quality is fantastic. A perfect balance of build quality and quality. It could be better,FALSE
Motorola Moto Edge+,Motorola,Moto Edge+,8GB,512GB,Nebula Blue,6.8,4053mAh,164MP,25W,17000,12870,24.29,"Absolutely love the performance. Highly recommend! A perfect balance of battery life and quality. I love it build quality is disappointing. Highly recommended Satisfactory display, but nothing extraordinary. Major flaws with the camera. Needs urgent improvement. Worth every penny! build quality is top-notch The display is neither here nor there. Highly recommended Decent performance for the price. display is fine. Terrible camera! Extremely dissatisfied. Exceptional camera. Definitely worth the price.",FALSE
Nothing Phone (2),Nothing,Phone (2),12GB,1TB,White,6.4,4489mAh,99MP,33W,58000,44020,24.1,"Exceptional build quality. Definitely worth the price. Exceptional display. Definitely worth the price. Not satisfied with the build quality. Not impressed The battery life is frustrating to deal with. Not impressed The build quality is neither here nor there. I love it Amazing build quality. Not worth the price A perfect balance of performance and quality. Not worth the price Meets expectations, but camera is unremarkable. Worth every penny! build quality is top-notch Meets expectations, but display is unremarkable.",FALSE
Huawei Mate 40,Huawei,Mate 40,8GB,128GB,Golden Black,6.6,4717mAh,180MP,25W,37000,26700,27.84,"Superb battery life! Makes everything better. A balanced experience overall, but camera lacks wow factor. Decent performance for the price. build quality is fine. A balanced experience overall, but performance lacks wow factor. Worth every penny! battery life is top-notch The display is frustrating to deal with. It could be better Worth every penny! battery life is top-notch Phenomenal performance! performance is flawless. A balanced experience overall, but battery life lacks wow factor. Fair performance for the price. build quality is acceptable.",FALSE
Motorola Moto G84,Motorola,Moto G84,16GB,128GB,Deep Green,6.6,4066mAh,144MP,45W,23000,17800,22.61,"performance is disappointing. Not worth the price Decent performance for the price. performance is fine. Unacceptable camera. It ruins the overall experience. Absolutely love the battery life. Highly recommend! Meets expectations, but performance is unremarkable. Unacceptable battery life. It ruins the overall experience. The battery life is frustrating to deal with. It could be better A balanced experience overall, but battery life lacks wow factor. Very poor performance. Would not recommend. Exceptional display. Definitely worth the price.",FALSE
Apple iPhone 15 Pro,Apple,iPhone 15 Pro,6GB,1TB,Gold,6.3,4341mAh,190MP,25W,159000,121090,23.84,"Amazing camera. Not worth the price Good value for money, but battery life is average. Really impressed with the build quality. Not worth the price Superb camera! Makes everything better. Fair performance for the price. build quality is acceptable. A perfect balance of performance and quality. Highly recommended Not satisfied with the battery life. Not impressed display could use a lot of improvement. It could be better Absolutely love the display. Highly recommend! Meets expectations, but display is unremarkable.",FALSE
Sony Xperia 1 IV,Sony,Xperia 1 IV,16GB,256GB,Frosted Black,6.8,5404mAh,172MP,100W,19000,12450,34.47,"Not bad, but camera could use some refinement. It could be better The performance is below par. Definitely not worth it. Major flaws with the camera. Needs urgent improvement. Good value for money, but display is average. A perfect balance of performance and quality. Highly recommended Exceptional battery life. Definitely worth the price. Good value for money, but battery life is average. Worth every penny! camera is top-notch The display is frustrating to deal with. Not impressed Really impressed with the build quality. It could be better",FALSE
Realme Realme GT 2 Pro,Realme,Realme GT 2 Pro,6GB,2TB,Cosmic Black,6.5,4095mAh,152MP,45W,25000,18570,25.72,"The build quality is neither here nor there. Not worth the price The performance is neither here nor there. Not worth the price camera is disappointing. It could be better Fair performance for the price. battery life is acceptable. Absolutely love the battery life. Highly recommend! camera is disappointing. Not worth the price Absolutely love the performance. Highly recommend! Meets expectations, but display is unremarkable. camera is okay. Highly recommended Mediocre performance. Could have been better.",FALSE
Nothing Phone (1) Lite,Nothing,Phone (1) Lite,12GB,256GB,White,6.4,4992mAh,135MP,33W,35000,23110,33.97,"The battery life is below par. Definitely not worth it. Worth every penny! performance is top-notch Worth every penny! performance is top-notch Fair performance for the price. display is acceptable. Amazing display. Not impressed Major flaws with the performance. Needs urgent improvement. Phenomenal performance! performance is flawless. Satisfactory build quality, but nothing extraordinary. A balanced experience overall, but build quality lacks wow factor. The build quality is frustrating to deal with. Highly recommended",FALSE
Apple iPhone 14 Pro Max,Apple,iPhone 14 Pro Max,16GB,1TB,Gold,6.4,4738mAh,175MP,100W,77000,60670,21.21,"Exceptional display. Definitely worth the price. Major flaws with the display. Needs urgent improvement. Really impressed with the display. Not worth the price The display is frustrating to deal with. I love it Satisfactory display, but nothing extraordinary. Superb camera! Makes everything better. battery life is okay. Highly recommended display is okay. Not impressed Good value for money, but camera is average. Absolutely love the build quality. Highly recommend!",FALSE
LG V60 ThinQ,LG,V60 ThinQ,16GB,256GB,Shiny Blue,6.4,4170mAh,169MP,45W,26000,19260,25.92,"Decent performance for the price. build quality is fine. Major flaws with the camera. Needs urgent improvement. Meets expectations, but camera is unremarkable. display is okay. It could be better camera is okay. Not impressed Major flaws with the display. Needs urgent improvement. display is okay. Highly recommended camera is disappointing. Highly recommended A balanced experience overall, but camera lacks wow factor. Really impressed with the battery life. Highly recommended",FALSE
OnePlus OnePlus 11R,OnePlus,OnePlus 11R,16GB,512GB,Cool Blue,6.5,4761mAh,123MP,100W,49000,36270,25.98,"Terrible display! Extremely dissatisfied. Meets expectations, but build quality is unremarkable. camera is okay. It could be better Amazing camera. Not impressed Really impressed with the performance. It could be better The display is below par. Definitely not worth it. Terrible camera! Extremely dissatisfied. Highly impressed with the build quality. Great job! Fair performance for the price. battery life is acceptable. Meets expectations, but camera is unremarkable.",TRUE
Samsung Galaxy Z Fold 5,Samsung,Galaxy Z Fold 5,12GB,256GB,Phantom Black,6.9,5164mAh,159MP,45W,154000,119740,22.25,"camera is disappointing. Not worth the price build quality could use a lot of improvement. I love it performance is okay. I love it camera is disappointing. It could be better The display is neither here nor there. Not worth the price Good value for money, but display is average. Terrible build quality! Extremely dissatisfied. Exceptional camera. Definitely worth the price. Really impressed with the camera. It could be better Not bad, but build quality could use some refinement. It could be better",FALSE
Google Pixel 8,Google,Pixel 8,12GB,128GB,Obsidian,6.7,5067mAh,196MP,25W,53000,37550,29.15,"Fair performance for the price. battery life is acceptable. Absolutely love the display. Highly recommend! A balanced experience overall, but performance lacks wow factor. The camera is below par. Definitely not worth it. Phenomenal performance! build quality is flawless. A balanced experience overall, but battery life lacks wow factor. Absolutely love the display. Highly recommend! Amazing camera. Not worth the price Really impressed with the camera. Not worth the price Not bad, but build quality could use some refinement. I love it",FALSE
Sony Xperia 5 V,Sony,Xperia 5 V,8GB,1TB,Burgundy Red,6.1,4838mAh,71MP,100W,38000,26440,30.42,"Not satisfied with the build quality. It could be better Exceeds expectations! display is fantastic. Very poor build quality. Would not recommend. The camera is frustrating to deal with. Not impressed Not satisfied with the camera. Not worth the price Really impressed with the display. I love it A perfect balance of performance and quality. Not impressed Unacceptable performance. It ruins the overall experience. Not bad, but battery life could use some refinement. I love it Superb camera! Makes everything better.",TRUE
OPPO OPPO F21 Pro,OPPO,OPPO F21 Pro,16GB,256GB,Starlit Black,6.5,5487mAh,52MP,25W,30000,19750,34.17,"Unacceptable performance. It ruins the overall experience. Exceptional camera. Definitely worth the price. build quality doesn't meet the standards. Not worth the price Mediocre build quality. Could have been better. performance doesn't meet the standards. Not impressed The performance is below par. Definitely not worth it. build quality could use a lot of improvement. I love it Very poor camera. Would not recommend. build quality is okay. Not worth the price Good value for money, but battery life is average.",FALSE
Vivo T2 Pro,Vivo,T2 Pro,16GB,2TB,Sunrise Gold,6.4,5089mAh,77MP,100W,34000,23610,30.56,"Fair performance for the price. display is acceptable. The battery life is below par. Definitely not worth it. Unacceptable build quality. It ruins the overall experience. The build quality is below par. Definitely not worth it. battery life doesn't meet the standards. I love it Satisfactory build quality, but nothing extraordinary. Really impressed with the camera. Not worth the price Unacceptable build quality. It ruins the overall experience. Unacceptable build quality. It ruins the overall experience. A perfect balance of battery life and quality. Not impressed",TRUE
Motorola Moto G Power,Motorola,Moto G Power,8GB,512GB,Magenta,6.5,4153mAh,82MP,65W,16000,12210,23.69,"A balanced experience overall, but performance lacks wow factor. Really impressed with the build quality. I love it Major flaws with the camera. Needs urgent improvement. Unacceptable build quality. It ruins the overall experience. A perfect balance of display and quality. Highly recommended The build quality is frustrating to deal with. It could be better Unacceptable performance. It ruins the overall experience. A perfect balance of performance and quality. Not worth the price Fair performance for the price. display is acceptable. Meets expectations, but performance is unremarkable.",FALSE
Vivo Vivo X90 Pro,Vivo,Vivo X90 Pro,6GB,512GB,Space Black,6.4,5413mAh,172MP,25W,23000,16740,27.22,"performance could use a lot of improvement. Not worth the price Exceeds expectations! battery life is fantastic. Exceptional battery life. Definitely worth the price. Meets expectations, but build quality is unremarkable. camera could use a lot of improvement. I love it A balanced experience overall, but display lacks wow factor. Very poor battery life. Would not recommend. Worth every penny! performance is top-notch Very poor build quality. Would not recommend. Highly impressed with the build quality. Great job!",FALSE
LG V60 ThinQ,LG,V60 ThinQ,16GB,2TB,Cloud White,6.2,5421mAh,198MP,65W,18000,12220,32.11,"camera is okay. Not impressed A balanced experience overall, but performance lacks wow factor. The performance is below par. Definitely not worth it. Not bad, but display could use some refinement. I love it Really impressed with the performance. I love it Terrible camera! Extremely dissatisfied. Really impressed with the performance. It could be better A balanced experience overall, but display lacks wow factor. Highly impressed with the battery life. Great job! A perfect balance of display and quality. I love it",TRUE
Realme Realme GT 2 Pro,Realme,Realme GT 2 Pro,6GB,256GB,Sunrise Gold,6.6,4265mAh,113MP,100W,25000,16620,33.52,"Worth every penny! display is top-notch Highly impressed with the camera. Great job! Meets expectations, but build quality is unremarkable. Unacceptable display. It ruins the overall experience. The camera is neither here nor there. I love it Unacceptable battery life. It ruins the overall experience. The build quality is frustrating to deal with. I love it The display is neither here nor there. It could be better Amazing display. Not impressed battery life is okay. Not worth the price",FALSE
Sony Xperia 5 V,Sony,Xperia 5 V,8GB,128GB,Frosted Black,6.4,5233mAh,87MP,65W,28000,18960,32.29,"Superb battery life! Makes everything better. A balanced experience overall, but display lacks wow factor. Worth every penny! battery life is top-notch build quality doesn't meet the standards. Highly recommended A balanced experience overall, but camera lacks wow factor. battery life could use a lot of improvement. Not worth the price Worth every penny! battery life is top-notch Exceeds expectations! display is fantastic. Superb camera! Makes everything better. The camera is neither here nor there. Highly recommended",FALSE
Motorola Moto G60,Motorola,Moto G60,12GB,256GB,Carbon Grey,6.2,5474mAh,135MP,33W,17000,11710,31.12,The build quality is frustrating to deal with. I love it Absolutely love the display. Highly recommend! Phenomenal performance! build quality is flawless. Absolutely love the display. Highly recommend! Superb camera! Makes everything better. Mediocre performance. Could have been better. The camera is frustrating to deal with. It could be better Unacceptable performance. It ruins the overall experience. Really impressed with the performance. Not impressed build quality is okay. Not worth the price,TRUE
Realme 11x,Realme,11x,8GB,256GB,Submarine Blue,6.5,4656mAh,195MP,45W,22000,15100,31.36,"The performance is neither here nor there. It could be better Terrible performance! Extremely dissatisfied. Good value for money, but camera is average. Highly impressed with the build quality. Great job! A balanced experience overall, but battery life lacks wow factor. display is okay. It could be better A balanced experience overall, but battery life lacks wow factor. Meets expectations, but camera is unremarkable. Exceptional performance. Definitely worth the price. The performance is below par. Definitely not worth it.",TRUE
Xiaomi 13 Pro,Xiaomi,13 Pro,16GB,128GB,Green,6.2,5173mAh,185MP,33W,41000,28360,30.83,"Meets expectations, but battery life is unremarkable. Not bad, but build quality could use some refinement. Highly recommended Amazing display. Not impressed build quality could use a lot of improvement. Not worth the price A perfect balance of battery life and quality. Not worth the price Meets expectations, but build quality is unremarkable. The battery life is frustrating to deal with. Not impressed Very poor performance. Would not recommend. Not bad, but battery life could use some refinement. I love it A balanced experience overall, but battery life lacks wow factor.",TRUE
Samsung Galaxy A54 5G,Samsung,Galaxy A54 5G,8GB,2TB,Titanium Black,6.7,4650mAh,130MP,65W,109000,80680,25.98,"Really impressed with the camera. I love it Unacceptable display. It ruins the overall experience. Phenomenal performance! build quality is flawless. Meets expectations, but camera is unremarkable. Exceptional build quality. Definitely worth the price. Highly impressed with the build quality. Great job! Good value for money, but battery life is average. Not satisfied with the performance. I love it performance is disappointing. I love it Highly impressed with the performance. Great job!",TRUE
Samsung Galaxy S24+,Samsung,Galaxy S24+,8GB,256GB,Titanium Black,6.2,4022mAh,68MP,45W,85000,63520,25.27,"camera doesn't meet the standards. Not worth the price Really impressed with the camera. It could be better camera is okay. Highly recommended Really impressed with the battery life. It could be better Not bad, but battery life could use some refinement. It could be better Superb performance! Makes everything better. Fair performance for the price. battery life is acceptable. The battery life is frustrating to deal with. Not worth the price Phenomenal performance! display is flawless. Meets expectations, but battery life is unremarkable.",TRUE
Vivo V29 Pro,Vivo,V29 Pro,6GB,256GB,Sunrise Gold,6.1,5400mAh,190MP,33W,19000,15070,20.68,Absolutely love the battery life. Highly recommend! Not satisfied with the build quality. It could be better Really impressed with the build quality. Not worth the price Absolutely love the build quality. Highly recommend! Major flaws with the performance. Needs urgent improvement. Worth every penny! build quality is top-notch battery life is okay. Not worth the price build quality could use a lot of improvement. Highly recommended camera is okay. It could be better Really impressed with the performance. It could be better,FALSE
Motorola Edge 20,Motorola,Edge 20,6GB,256GB,Carbon Grey,6.3,4526mAh,133MP,33W,35000,24250,30.71,"Exceeds expectations! battery life is fantastic. Terrible build quality! Extremely dissatisfied. Worth every penny! camera is top-notch Really impressed with the performance. Not worth the price Highly impressed with the performance. Great job! Phenomenal performance! performance is flawless. Meets expectations, but build quality is unremarkable. Not satisfied with the display. Not impressed Very poor camera. Would not recommend. Highly impressed with the display. Great job!",FALSE
Samsung Galaxy A34 5G,Samsung,Galaxy A34 5G,12GB,2TB,Titanium Violet,6.8,4734mAh,78MP,65W,83000,65230,21.41,"Absolutely love the display. Highly recommend! performance is disappointing. Not impressed The battery life is below par. Definitely not worth it. The display is frustrating to deal with. I love it Meets expectations, but display is unremarkable. The display is frustrating to deal with. Highly recommended Unacceptable performance. It ruins the overall experience. The battery life is neither here nor there. Not worth the price Absolutely love the display. Highly recommend! Terrible battery life! Extremely dissatisfied.",TRUE
Asus ROG Phone 7,Asus,ROG Phone 7,8GB,2TB,Moonlight White,6.6,4619mAh,164MP,45W,37000,28560,22.81,"Phenomenal performance! build quality is flawless. Terrible performance! Extremely dissatisfied. Superb camera! Makes everything better. Major flaws with the battery life. Needs urgent improvement. battery life is disappointing. Not impressed Phenomenal performance! performance is flawless. Worth every penny! display is top-notch Fair performance for the price. battery life is acceptable. Exceeds expectations! display is fantastic. Not bad, but build quality could use some refinement. Not impressed",TRUE
Realme 11 Pro+,Realme,11 Pro+,6GB,256GB,Dawn White,6.4,5169mAh,177MP,33W,34000,25680,24.47,"A balanced experience overall, but camera lacks wow factor. Amazing build quality. Not worth the price Fair performance for the price. performance is acceptable. The camera is neither here nor there. Not worth the price Absolutely love the camera. Highly recommend! Unacceptable camera. It ruins the overall experience. The build quality is below par. Definitely not worth it. Not bad, but battery life could use some refinement. Not impressed build quality is okay. Highly recommended build quality is okay. Not impressed",TRUE
LG G7 ThinQ,LG,G7 ThinQ,16GB,256GB,Ice Platinum,6.8,4615mAh,49MP,100W,35000,23510,32.83,A perfect balance of performance and quality. Highly recommended display is disappointing. I love it Really impressed with the build quality. Not worth the price build quality is okay. Not worth the price Decent performance for the price. camera is fine. Major flaws with the battery life. Needs urgent improvement. The performance is below par. Definitely not worth it. Exceeds expectations! display is fantastic. camera is okay. Highly recommended Highly impressed with the battery life. Great job!,FALSE
Samsung Galaxy A34 5G,Samsung,Galaxy A34 5G,16GB,256GB,Titanium Yellow,6.2,5352mAh,66MP,25W,108000,82910,23.23,"Fair performance for the price. battery life is acceptable. Meets expectations, but performance is unremarkable. Mediocre build quality. Could have been better. Exceptional build quality. Definitely worth the price. Not bad, but battery life could use some refinement. I love it Mediocre display. Could have been better. Mediocre display. Could have been better. The battery life is below par. Definitely not worth it. The battery life is neither here nor there. Highly recommended Exceeds expectations! camera is fantastic.",TRUE
Huawei Mate 40,Huawei,Mate 40,6GB,1TB,Cyan,6.2,4869mAh,99MP,100W,24000,18860,21.42,"The battery life is frustrating to deal with. It could be better Unacceptable camera. It ruins the overall experience. Good value for money, but battery life is average. The build quality is frustrating to deal with. Not impressed Not satisfied with the performance. It could be better Very poor display. Would not recommend. Unacceptable camera. It ruins the overall experience. build quality is okay. It could be better Amazing battery life. It could be better Very poor performance. Would not recommend.",TRUE
Realme 11x,Realme,11x,12GB,512GB,Dawn White,6.6,4652mAh,67MP,25W,20000,15770,21.15,performance could use a lot of improvement. Highly recommended Superb display! Makes everything better. The performance is neither here nor there. It could be better Unacceptable camera. It ruins the overall experience. camera could use a lot of improvement. Not impressed Highly impressed with the performance. Great job! Major flaws with the build quality. Needs urgent improvement. Phenomenal performance! performance is flawless. The display is below par. Definitely not worth it. The battery life is below par. Definitely not worth it.,FALSE
Google Pixel 6a,Google,Pixel 6a,12GB,256GB,Kinda Coral,6.2,4279mAh,83MP,45W,54000,37060,31.37,"The performance is neither here nor there. Not impressed Very poor build quality. Would not recommend. Decent performance for the price. performance is fine. Highly impressed with the build quality. Great job! Absolutely love the camera. Highly recommend! Meets expectations, but performance is unremarkable. Phenomenal performance! battery life is flawless. Highly impressed with the build quality. Great job! Amazing display. I love it Meets expectations, but battery life is unremarkable.",TRUE
Samsung Galaxy Z Flip 5,Samsung,Galaxy Z Flip 5,6GB,1TB,Titanium Yellow,6.2,4288mAh,187MP,80W,179000,129300,27.77,"The build quality is below par. Definitely not worth it. A perfect balance of battery life and quality. I love it battery life could use a lot of improvement. Highly recommended Amazing build quality. Highly recommended Not bad, but display could use some refinement. I love it Phenomenal performance! display is flawless. A balanced experience overall, but performance lacks wow factor. The build quality is frustrating to deal with. Highly recommended The camera is frustrating to deal with. I love it Major flaws with the battery life. Needs urgent improvement.",FALSE
Realme 11 Pro,Realme,11 Pro,12GB,256GB,Sunrise Gold,6.7,4287mAh,107MP,80W,23000,15340,33.3,"The camera is neither here nor there. Not worth the price Highly impressed with the battery life. Great job! Good value for money, but build quality is average. The display is neither here nor there. Not impressed Fair performance for the price. battery life is acceptable. The battery life is frustrating to deal with. Not worth the price camera is okay. It could be better Fair performance for the price. build quality is acceptable. The display is neither here nor there. Not worth the price Major flaws with the camera. Needs urgent improvement.",TRUE
