Product_Name,Brand,Model,RAM,Storage,Color,Screen_Size,Battery,Main_Camera,Charging,Original_Price,Price,Discount_Percentage,Reviews,In_Stock
Google Pixel 8 Pro,Google,Pixel 8 Pro,6GB,2TB,Obsidian,6.5,4813mAh,155MP,25W,49000,34560,29.47,"Satisfactory battery life, but nothing extraordinary. Not satisfied with the performance. It could be better Exceptional battery life. Definitely worth the price. Decent performance for the price. build quality is fine. Highly impressed with the performance. Great job! The display is below par. Definitely not worth it. Fair performance for the price. camera is acceptable. Decent performance for the price. battery life is fine. Highly impressed with the display. Great job! Unacceptable performance. It ruins the overall experience.",FALSE
LG V50 ThinQ,LG,V50 ThinQ,6GB,512GB,Cloud White,6.2,4727mAh,51MP,65W,24000,19080,20.5,"Exceeds expectations! battery life is fantastic. Not bad, but build quality could use some refinement. Highly recommended The battery life is frustrating to deal with. I love it Exceptional display. Definitely worth the price. Not bad, but camera could use some refinement. I love it Highly impressed with the display. Great job! Unacceptable performance. It ruins the overall experience. Good value for money, but build quality is average. Mediocre battery life. Could have been better. Highly impressed with the performance. Great job!",FALSE
OnePlus 12,OnePlus,12,16GB,1TB,Morning Mist,6.7,4295mAh,94MP,33W,62000,43190,30.34,"Highly impressed with the display. Great job! Superb battery life! Makes everything better. battery life is disappointing. Not worth the price Satisfactory display, but nothing extraordinary. Not satisfied with the battery life. Not worth the price Major flaws with the camera. Needs urgent improvement. Really impressed with the build quality. It could be better Satisfactory display, but nothing extraordinary. Amazing display. It could be better battery life could use a lot of improvement. Not worth the price",TRUE
LG V60 ThinQ,LG,V60 ThinQ,6GB,512GB,Ice Platinum,6.7,4263mAh,73MP,25W,38000,28510,24.97,"display is okay. Highly recommended Phenomenal performance! performance is flawless. The performance is frustrating to deal with. Not impressed Exceptional build quality. Definitely worth the price. Mediocre display. Could have been better. Fair performance for the price. display is acceptable. Exceeds expectations! battery life is fantastic. Mediocre camera. Could have been better. Satisfactory build quality, but nothing extraordinary. Unacceptable display. It ruins the overall experience.",TRUE
Realme Realme Narzo 50,Realme,Realme Narzo 50,16GB,1TB,Cosmic Black,6.3,4325mAh,68MP,100W,18000,13890,22.83,"Superb performance! Makes everything better. Superb performance! Makes everything better. build quality is disappointing. I love it Terrible display! Extremely dissatisfied. display is disappointing. I love it Highly impressed with the battery life. Great job! Unacceptable battery life. It ruins the overall experience. Exceeds expectations! performance is fantastic. Meets expectations, but battery life is unremarkable. camera could use a lot of improvement. I love it",TRUE
iQOO iQOO Z6,iQOO,iQOO Z6,6GB,1TB,Alpha,6.1,4566mAh,95MP,80W,18000,13970,22.39,A perfect balance of build quality and quality. It could be better display is disappointing. Not impressed Exceeds expectations! build quality is fantastic. Mediocre build quality. Could have been better. Exceeds expectations! camera is fantastic. Decent performance for the price. camera is fine. Fair performance for the price. camera is acceptable. A perfect balance of display and quality. Not worth the price performance doesn't meet the standards. Highly recommended The build quality is frustrating to deal with. Not worth the price,FALSE
Sony Xperia 10 V,Sony,Xperia 10 V,6GB,128GB,Platinum Silver,6.4,4811mAh,107MP,45W,39000,25940,33.49,"Very poor battery life. Would not recommend. build quality is disappointing. It could be better Exceeds expectations! performance is fantastic. Satisfactory battery life, but nothing extraordinary. A balanced experience overall, but performance lacks wow factor. A balanced experience overall, but display lacks wow factor. Not satisfied with the battery life. Not worth the price A balanced experience overall, but battery life lacks wow factor. display is okay. I love it Good value for money, but build quality is average.",FALSE
iQOO 12 Pro,iQOO,12 Pro,6GB,2TB,Beta,6.7,5359mAh,182MP,80W,15000,10550,29.67,"performance is disappointing. I love it Highly impressed with the camera. Great job! Really impressed with the battery life. Not impressed Satisfactory battery life, but nothing extraordinary. Very poor performance. Would not recommend. The display is frustrating to deal with. It could be better The build quality is below par. Definitely not worth it. The performance is below par. Definitely not worth it. Worth every penny! camera is top-notch performance doesn't meet the standards. It could be better",TRUE
Samsung Galaxy S24,Samsung,Galaxy S24,16GB,2TB,Titanium Black,6.3,4866mAh,117MP,25W,161000,116970,27.35,"Exceeds expectations! build quality is fantastic. Worth every penny! display is top-notch Satisfactory performance, but nothing extraordinary. A balanced experience overall, but camera lacks wow factor. The battery life is below par. Definitely not worth it. Unacceptable performance. It ruins the overall experience. Amazing performance. Highly recommended Major flaws with the camera. Needs urgent improvement. The camera is frustrating to deal with. Not impressed build quality is okay. Not impressed",TRUE
Apple iPhone 13 Mini,Apple,iPhone 13 Mini,8GB,256GB,White Titanium,6.7,4220mAh,116MP,25W,170000,135470,20.31,"battery life doesn't meet the standards. Highly recommended Terrible build quality! Extremely dissatisfied. Not satisfied with the display. It could be better Absolutely love the performance. Highly recommend! Exceptional display. Definitely worth the price. A perfect balance of build quality and quality. It could be better A perfect balance of camera and quality. Not impressed Decent performance for the price. performance is fine. A balanced experience overall, but performance lacks wow factor. performance doesn't meet the standards. Not impressed",FALSE
Xiaomi Redmi Note 13 Pro,Xiaomi,Redmi Note 13 Pro,16GB,1TB,White,6.8,5325mAh,111MP,80W,33000,22490,31.85,Highly impressed with the performance. Great job! Exceptional build quality. Definitely worth the price. Very poor battery life. Would not recommend. Absolutely love the build quality. Highly recommend! Really impressed with the battery life. Not impressed Really impressed with the battery life. Highly recommended Mediocre camera. Could have been better. Fair performance for the price. performance is acceptable. Decent performance for the price. camera is fine. Exceeds expectations! build quality is fantastic.,FALSE
Vivo V29 Pro,Vivo,V29 Pro,12GB,256GB,Deep Blue,6.3,4918mAh,132MP,65W,23000,17900,22.17,"Meets expectations, but performance is unremarkable. Absolutely love the build quality. Highly recommend! display could use a lot of improvement. It could be better A balanced experience overall, but display lacks wow factor. The build quality is neither here nor there. I love it The battery life is neither here nor there. Highly recommended Absolutely love the camera. Highly recommend! Mediocre build quality. Could have been better. Really impressed with the display. Not worth the price build quality is disappointing. I love it",FALSE
Apple iPhone 13 Mini,Apple,iPhone 13 Mini,16GB,1TB,Black Titanium,6.7,4703mAh,105MP,100W,71000,55860,21.32,"Meets expectations, but battery life is unremarkable. display is disappointing. Not worth the price The camera is below par. Definitely not worth it. Absolutely love the performance. Highly recommend! Not satisfied with the build quality. I love it Absolutely love the performance. Highly recommend! camera could use a lot of improvement. I love it A perfect balance of camera and quality. Highly recommended Worth every penny! display is top-notch Very poor display. Would not recommend.",TRUE
LG G7 ThinQ,LG,G7 ThinQ,12GB,2TB,Cloud White,6.8,5020mAh,53MP,65W,35000,23110,33.97,"performance is disappointing. Highly recommended Not bad, but build quality could use some refinement. It could be better Fair performance for the price. display is acceptable. Not satisfied with the camera. Not worth the price Worth every penny! battery life is top-notch Not bad, but performance could use some refinement. Not worth the price Amazing build quality. Not worth the price Not satisfied with the battery life. Not impressed Terrible battery life! Extremely dissatisfied. Terrible battery life! Extremely dissatisfied.",TRUE
iQOO 11,iQOO,11,8GB,1TB,Alpha,6.4,4848mAh,96MP,80W,21000,15050,28.33,"Phenomenal performance! battery life is flawless. Satisfactory display, but nothing extraordinary. Unacceptable battery life. It ruins the overall experience. Terrible build quality! Extremely dissatisfied. Highly impressed with the display. Great job! Phenomenal performance! camera is flawless. Fair performance for the price. build quality is acceptable. battery life could use a lot of improvement. I love it Absolutely love the build quality. Highly recommend! display could use a lot of improvement. Highly recommended",FALSE
Motorola Moto G60,Motorola,Moto G60,6GB,512GB,Magenta,6.1,4712mAh,74MP,33W,35000,24010,31.4,"A perfect balance of build quality and quality. Not impressed Not satisfied with the camera. I love it Satisfactory display, but nothing extraordinary. Meets expectations, but performance is unremarkable. Highly impressed with the display. Great job! Exceeds expectations! display is fantastic. Amazing build quality. I love it Really impressed with the battery life. I love it The build quality is neither here nor there. Not worth the price Decent performance for the price. performance is fine.",FALSE
Realme 11 Pro,Realme,11 Pro,12GB,128GB,Dawn White,6.1,4728mAh,175MP,25W,18000,11920,33.78,"Decent performance for the price. battery life is fine. The camera is below par. Definitely not worth it. Superb camera! Makes everything better. Absolutely love the display. Highly recommend! Decent performance for the price. performance is fine. Phenomenal performance! battery life is flawless. A balanced experience overall, but performance lacks wow factor. Worth every penny! battery life is top-notch Absolutely love the camera. Highly recommend! The battery life is frustrating to deal with. It could be better",FALSE
Vivo X100 Pro,Vivo,X100 Pro,16GB,512GB,Deep Blue,6.4,4395mAh,77MP,100W,16000,12090,24.44,"The display is frustrating to deal with. Not impressed Absolutely love the performance. Highly recommend! Terrible display! Extremely dissatisfied. build quality doesn't meet the standards. It could be better A balanced experience overall, but performance lacks wow factor. Amazing battery life. Highly recommended Really impressed with the camera. Not worth the price Not satisfied with the battery life. Not worth the price Exceptional camera. Definitely worth the price. Superb performance! Makes everything better.",TRUE
Nothing Phone (2),Nothing,Phone (2),16GB,1TB,Light Grey,6.9,5018mAh,103MP,100W,52000,35270,32.17,"performance is okay. It could be better Major flaws with the camera. Needs urgent improvement. Exceptional build quality. Definitely worth the price. The camera is frustrating to deal with. Not impressed Absolutely love the build quality. Highly recommend! display doesn't meet the standards. Not impressed Amazing build quality. Highly recommended Terrible battery life! Extremely dissatisfied. Meets expectations, but build quality is unremarkable. Not satisfied with the performance. I love it",FALSE
Apple iPhone 15 Plus,Apple,iPhone 15 Plus,16GB,128GB,Blue Titanium,6.7,4491mAh,103MP,33W,163000,116990,28.23,"A perfect balance of build quality and quality. Highly recommended A balanced experience overall, but battery life lacks wow factor. The performance is below par. Definitely not worth it. Good value for money, but battery life is average. camera is disappointing. Not worth the price Superb camera! Makes everything better. A perfect balance of camera and quality. Not worth the price performance is okay. Not worth the price camera doesn't meet the standards. Highly recommended The build quality is below par. Definitely not worth it.",TRUE
Realme Realme GT 2 Pro,Realme,Realme GT 2 Pro,8GB,1TB,Submarine Blue,6.1,4659mAh,163MP,25W,38000,26290,30.82,"Not satisfied with the battery life. Not worth the price Meets expectations, but battery life is unremarkable. A balanced experience overall, but battery life lacks wow factor. Meets expectations, but display is unremarkable. The display is neither here nor there. Highly recommended A balanced experience overall, but performance lacks wow factor. Meets expectations, but battery life is unremarkable. Fair performance for the price. camera is acceptable. Not bad, but camera could use some refinement. Not impressed The performance is below par. Definitely not worth it.",TRUE
Samsung Galaxy S24,Samsung,Galaxy S24,12GB,2TB,Titanium Yellow,6.2,4421mAh,123MP,33W,126000,92840,26.32,build quality is okay. Not worth the price battery life is okay. Highly recommended Highly impressed with the build quality. Great job! Superb battery life! Makes everything better. The build quality is neither here nor there. It could be better build quality could use a lot of improvement. Not worth the price The build quality is below par. Definitely not worth it. Exceeds expectations! performance is fantastic. Worth every penny! display is top-notch The display is neither here nor there. Highly recommended,FALSE
Google Pixel 8,Google,Pixel 8,12GB,512GB,Bay Blue,6.5,5288mAh,151MP,25W,63000,40980,34.95,"A perfect balance of camera and quality. Not impressed A perfect balance of performance and quality. It could be better Decent performance for the price. build quality is fine. display could use a lot of improvement. It could be better A perfect balance of display and quality. Not worth the price A balanced experience overall, but camera lacks wow factor. Major flaws with the camera. Needs urgent improvement. Exceeds expectations! display is fantastic. Decent performance for the price. battery life is fine. Mediocre build quality. Could have been better.",FALSE
Huawei Nova 10,Huawei,Nova 10,12GB,512GB,Cyan,6.8,4259mAh,173MP,65W,25000,17900,28.4,"Not bad, but build quality could use some refinement. Highly recommended Phenomenal performance! build quality is flawless. Good value for money, but display is average. build quality is okay. Not worth the price Fair performance for the price. build quality is acceptable. Good value for money, but camera is average. Amazing performance. It could be better Not satisfied with the battery life. I love it Absolutely love the build quality. Highly recommend! camera could use a lot of improvement. Not worth the price",TRUE
Apple iPhone 15 Plus,Apple,iPhone 15 Plus,8GB,2TB,Gold,6.9,5475mAh,165MP,25W,140000,106700,23.79,"Satisfactory build quality, but nothing extraordinary. Superb battery life! Makes everything better. Unacceptable performance. It ruins the overall experience. Really impressed with the display. I love it build quality is disappointing. Not worth the price Fair performance for the price. battery life is acceptable. Satisfactory performance, but nothing extraordinary. camera is okay. Not impressed Good value for money, but display is average. Major flaws with the performance. Needs urgent improvement.",TRUE
OPPO OPPO Find X6 Pro,OPPO,OPPO Find X6 Pro,6GB,256GB,Ocean Blue,6.8,5031mAh,166MP,33W,32000,21830,31.78,"Amazing display. I love it Not bad, but display could use some refinement. Not worth the price Good value for money, but camera is average. A balanced experience overall, but build quality lacks wow factor. Good value for money, but performance is average. The build quality is frustrating to deal with. It could be better Exceeds expectations! build quality is fantastic. Exceptional display. Definitely worth the price. Not satisfied with the battery life. Not impressed Highly impressed with the performance. Great job!",FALSE
LG Wing,LG,Wing,12GB,2TB,Aurora Black,6.5,4132mAh,81MP,80W,23000,16110,29.96,"Really impressed with the display. It could be better Really impressed with the display. Highly recommended Terrible build quality! Extremely dissatisfied. The build quality is neither here nor there. I love it Terrible battery life! Extremely dissatisfied. Absolutely love the display. Highly recommend! A balanced experience overall, but performance lacks wow factor. Superb battery life! Makes everything better. The camera is neither here nor there. I love it build quality is disappointing. Not worth the price",TRUE
LG G7 ThinQ,LG,G7 ThinQ,12GB,2TB,Aurora Black,6.8,4619mAh,52MP,25W,22000,16550,24.77,"Amazing display. I love it Not bad, but display could use some refinement. Not worth the price Really impressed with the build quality. Not worth the price A balanced experience overall, but display lacks wow factor. Absolutely love the performance. Highly recommend! battery life doesn't meet the standards. Not impressed The camera is neither here nor there. Not worth the price Worth every penny! build quality is top-notch Terrible build quality! Extremely dissatisfied. Exceptional battery life. Definitely worth the price.",FALSE
Huawei Nova 10,Huawei,Nova 10,6GB,256GB,Emerald Green,6.7,4019mAh,49MP,80W,25000,16370,34.52,"Phenomenal performance! display is flawless. Decent performance for the price. performance is fine. Meets expectations, but battery life is unremarkable. A balanced experience overall, but camera lacks wow factor. The battery life is below par. Definitely not worth it. Good value for money, but build quality is average. The performance is frustrating to deal with. Not worth the price Mediocre performance. Could have been better. Worth every penny! build quality is top-notch Phenomenal performance! build quality is flawless.",TRUE
Realme 12 Pro,Realme,12 Pro,16GB,256GB,Cosmic Black,6.7,4574mAh,86MP,25W,16000,11810,26.19,"Not bad, but battery life could use some refinement. Highly recommended Good value for money, but performance is average. Really impressed with the display. Not impressed A balanced experience overall, but build quality lacks wow factor. Not satisfied with the battery life. Not impressed camera is disappointing. Highly recommended The camera is below par. Definitely not worth it. Not satisfied with the display. Not impressed Satisfactory camera, but nothing extraordinary. Really impressed with the display. It could be better",TRUE
Nothing Phone (2),Nothing,Phone (2),8GB,512GB,Clear,6.4,4538mAh,78MP,100W,42000,29380,30.05,"Good value for money, but display is average. Worth every penny! build quality is top-notch Superb performance! Makes everything better. Not bad, but display could use some refinement. It could be better Terrible battery life! Extremely dissatisfied. Mediocre display. Could have been better. Really impressed with the camera. Not worth the price Very poor display. Would not recommend. Not bad, but battery life could use some refinement. I love it Terrible camera! Extremely dissatisfied.",FALSE
Vivo Vivo V23,Vivo,Vivo V23,12GB,128GB,Deep Blue,6.7,4579mAh,152MP,100W,17000,12630,25.71,"Good value for money, but build quality is average. Mediocre battery life. Could have been better. Very poor battery life. Would not recommend. Fair performance for the price. build quality is acceptable. Satisfactory performance, but nothing extraordinary. Phenomenal performance! battery life is flawless. Worth every penny! performance is top-notch Absolutely love the camera. Highly recommend! battery life is disappointing. I love it Phenomenal performance! performance is flawless.",TRUE
Apple iPhone 15,Apple,iPhone 15,6GB,128GB,White Titanium,6.5,4460mAh,142MP,33W,178000,120290,32.42,"performance could use a lot of improvement. It could be better Good value for money, but performance is average. camera could use a lot of improvement. Not worth the price Good value for money, but build quality is average. Mediocre battery life. Could have been better. The performance is below par. Definitely not worth it. Exceeds expectations! performance is fantastic. Fair performance for the price. camera is acceptable. The performance is frustrating to deal with. Not impressed Terrible battery life! Extremely dissatisfied.",FALSE
OPPO F23,OPPO,F23,16GB,1TB,Ocean Blue,6.4,4701mAh,151MP,80W,18000,13560,24.67,"Highly impressed with the performance. Great job! Good value for money, but performance is average. Highly impressed with the display. Great job! Good value for money, but display is average. performance is disappointing. Not worth the price Exceeds expectations! display is fantastic. The performance is neither here nor there. Not worth the price build quality doesn't meet the standards. Not impressed The display is below par. Definitely not worth it. A balanced experience overall, but performance lacks wow factor.",FALSE
Vivo Vivo V23,Vivo,Vivo V23,8GB,1TB,Sunrise Gold,6.2,4319mAh,138MP,80W,39000,28820,26.1,"Absolutely love the camera. Highly recommend! Superb performance! Makes everything better. Fair performance for the price. camera is acceptable. Very poor battery life. Would not recommend. Absolutely love the performance. Highly recommend! Meets expectations, but build quality is unremarkable. Exceptional camera. Definitely worth the price. Superb display! Makes everything better. Exceptional build quality. Definitely worth the price. Good value for money, but battery life is average.",TRUE
OnePlus 11,OnePlus,11,16GB,128GB,Flowy Emerald,6.6,4497mAh,128MP,100W,39000,29010,25.62,"Major flaws with the build quality. Needs urgent improvement. Meets expectations, but display is unremarkable. Worth every penny! battery life is top-notch Highly impressed with the battery life. Great job! A balanced experience overall, but battery life lacks wow factor. Unacceptable display. It ruins the overall experience. Decent performance for the price. build quality is fine. Highly impressed with the battery life. Great job! Meets expectations, but camera is unremarkable. A perfect balance of build quality and quality. It could be better",FALSE
LG G8X ThinQ,LG,G8X ThinQ,16GB,2TB,Shiny Blue,6.6,4150mAh,146MP,65W,37000,29000,21.62,"Fair performance for the price. display is acceptable. Satisfactory build quality, but nothing extraordinary. battery life is okay. It could be better Major flaws with the build quality. Needs urgent improvement. Not satisfied with the display. Not impressed Decent performance for the price. display is fine. Not bad, but camera could use some refinement. Not worth the price Very poor battery life. Would not recommend. Terrible performance! Extremely dissatisfied. Unacceptable battery life. It ruins the overall experience.",TRUE
Google Pixel 7,Google,Pixel 7,6GB,128GB,Porcelain,6.1,4420mAh,152MP,33W,31000,20530,33.77,Fair performance for the price. battery life is acceptable. Unacceptable build quality. It ruins the overall experience. build quality doesn't meet the standards. Highly recommended camera could use a lot of improvement. Not worth the price Major flaws with the camera. Needs urgent improvement. Highly impressed with the camera. Great job! Really impressed with the display. Not impressed Terrible build quality! Extremely dissatisfied. Phenomenal performance! display is flawless. Worth every penny! performance is top-notch,FALSE
Motorola Moto G Power,Motorola,Moto G Power,16GB,128GB,Carbon Grey,6.5,5386mAh,101MP,100W,16000,11590,27.56,"The build quality is frustrating to deal with. Not impressed Meets expectations, but build quality is unremarkable. Satisfactory display, but nothing extraordinary. Satisfactory camera, but nothing extraordinary. Decent performance for the price. camera is fine. Absolutely love the build quality. Highly recommend! The performance is frustrating to deal with. Not impressed Terrible performance! Extremely dissatisfied. Satisfactory battery life, but nothing extraordinary. Superb camera! Makes everything better.",TRUE
LG Velvet 2,LG,Velvet 2,6GB,2TB,Aurora Black,6.3,5408mAh,51MP,25W,28000,21950,21.61,"Good value for money, but display is average. Exceptional performance. Definitely worth the price. Fair performance for the price. performance is acceptable. Satisfactory display, but nothing extraordinary. Worth every penny! performance is top-notch Absolutely love the battery life. Highly recommend! Major flaws with the performance. Needs urgent improvement. Satisfactory build quality, but nothing extraordinary. Really impressed with the display. Not worth the price Terrible display! Extremely dissatisfied.",FALSE
Huawei P60,Huawei,P60,6GB,256GB,Silver Frost,6.2,5217mAh,84MP,65W,33000,24420,26,"Phenomenal performance! camera is flawless. Major flaws with the performance. Needs urgent improvement. Phenomenal performance! performance is flawless. A perfect balance of display and quality. Not impressed Mediocre build quality. Could have been better. Fair performance for the price. performance is acceptable. Terrible build quality! Extremely dissatisfied. Not bad, but camera could use some refinement. I love it Not bad, but build quality could use some refinement. It could be better Very poor battery life. Would not recommend.",TRUE
Huawei P50 Pro,Huawei,P50 Pro,6GB,512GB,Emerald Green,6.3,4134mAh,180MP,45W,15000,10530,29.8,"battery life is okay. I love it Superb camera! Makes everything better. Major flaws with the battery life. Needs urgent improvement. Meets expectations, but battery life is unremarkable. The build quality is neither here nor there. Not impressed Exceptional build quality. Definitely worth the price. The display is frustrating to deal with. Not impressed Not bad, but performance could use some refinement. Not impressed Worth every penny! camera is top-notch Really impressed with the display. Highly recommended",TRUE
Google Pixel 5a,Google,Pixel 5a,6GB,256GB,Obsidian,6.7,4908mAh,167MP,45W,31000,21370,31.06,"Very poor battery life. Would not recommend. Superb battery life! Makes everything better. Satisfactory performance, but nothing extraordinary. build quality could use a lot of improvement. I love it Worth every penny! display is top-notch Not bad, but camera could use some refinement. Highly recommended Highly impressed with the camera. Great job! Very poor camera. Would not recommend. performance is disappointing. It could be better Phenomenal performance! camera is flawless.",FALSE
Apple iPhone 15 Pro,Apple,iPhone 15 Pro,12GB,2TB,Black Titanium,6.2,5293mAh,168MP,33W,139000,100540,27.67,Phenomenal performance! display is flawless. Very poor battery life. Would not recommend. build quality is disappointing. I love it The camera is below par. Definitely not worth it. Amazing battery life. It could be better The battery life is neither here nor there. Highly recommended Terrible display! Extremely dissatisfied. Exceeds expectations! camera is fantastic. Terrible battery life! Extremely dissatisfied. Worth every penny! battery life is top-notch,FALSE
Realme 11 Pro,Realme,11 Pro,6GB,256GB,Cosmic Black,6.8,4407mAh,153MP,100W,24000,17960,25.17,"Good value for money, but build quality is average. Decent performance for the price. camera is fine. performance doesn't meet the standards. Highly recommended Unacceptable performance. It ruins the overall experience. Really impressed with the build quality. It could be better Very poor display. Would not recommend. Exceptional display. Definitely worth the price. Exceptional build quality. Definitely worth the price. A perfect balance of build quality and quality. It could be better Fair performance for the price. camera is acceptable.",TRUE
Samsung Galaxy A54 5G,Samsung,Galaxy A54 5G,8GB,1TB,Titanium Gray,6.2,4869mAh,115MP,25W,136000,96280,29.21,"Decent performance for the price. camera is fine. Unacceptable display. It ruins the overall experience. The battery life is neither here nor there. It could be better The build quality is frustrating to deal with. Not worth the price A perfect balance of battery life and quality. I love it A balanced experience overall, but camera lacks wow factor. build quality could use a lot of improvement. Not impressed A perfect balance of performance and quality. Not worth the price Unacceptable build quality. It ruins the overall experience. Major flaws with the display. Needs urgent improvement.",TRUE
Vivo X100 Pro,Vivo,X100 Pro,8GB,2TB,Sunrise Gold,6.5,5049mAh,169MP,45W,27000,19900,26.3,"performance is disappointing. Not impressed A balanced experience overall, but display lacks wow factor. The display is neither here nor there. Not impressed Satisfactory display, but nothing extraordinary. Highly impressed with the display. Great job! The battery life is frustrating to deal with. Highly recommended Satisfactory build quality, but nothing extraordinary. Fair performance for the price. battery life is acceptable. Amazing camera. Not impressed Superb battery life! Makes everything better.",TRUE
Google Pixel 6a,Google,Pixel 6a,12GB,2TB,Porcelain,6.6,4273mAh,180MP,80W,50000,35040,29.92,"Terrible performance! Extremely dissatisfied. A perfect balance of display and quality. Not worth the price performance could use a lot of improvement. It could be better performance doesn't meet the standards. It could be better Decent performance for the price. display is fine. camera doesn't meet the standards. Highly recommended Amazing build quality. Not impressed Fair performance for the price. display is acceptable. Satisfactory display, but nothing extraordinary. A balanced experience overall, but display lacks wow factor.",FALSE
OnePlus OnePlus 11R,OnePlus,OnePlus 11R,8GB,1TB,Silky Black,6.1,4400mAh,97MP,45W,31000,23730,23.45,"Not bad, but performance could use some refinement. I love it build quality is disappointing. Not worth the price Exceptional display. Definitely worth the price. Not bad, but display could use some refinement. It could be better Worth every penny! performance is top-notch Exceeds expectations! performance is fantastic. display doesn't meet the standards. It could be better camera is disappointing. Not worth the price Phenomenal performance! build quality is flawless. performance doesn't meet the standards. It could be better",FALSE
OnePlus Nord CE 2 Lite,OnePlus,Nord CE 2 Lite,12GB,1TB,Silky Black,6.4,4789mAh,165MP,33W,33000,21850,33.79,"Not satisfied with the build quality. Not worth the price Very poor camera. Would not recommend. The display is neither here nor there. Highly recommended Not bad, but build quality could use some refinement. Not impressed Absolutely love the camera. Highly recommend! Meets expectations, but build quality is unremarkable. The performance is neither here nor there. Not impressed Phenomenal performance! display is flawless. Fair performance for the price. display is acceptable. The camera is below par. Definitely not worth it.",TRUE
Apple iPhone 15,Apple,iPhone 15,12GB,128GB,Blue Titanium,6.6,4378mAh,67MP,65W,102000,67930,33.4,"build quality is okay. Not impressed The display is neither here nor there. I love it Major flaws with the battery life. Needs urgent improvement. Absolutely love the performance. Highly recommend! Mediocre performance. Could have been better. Not bad, but camera could use some refinement. I love it Very poor build quality. Would not recommend. The camera is frustrating to deal with. I love it A balanced experience overall, but build quality lacks wow factor. Major flaws with the camera. Needs urgent improvement.",FALSE
